network,sd_method,method,threshold,ACC,recall,PPV,f12,TP,TN,FP,FN
Karate club,BC,LP,0.55,0.907069550269622,0.6203703703703703,0.8518518518518519,0.717912881434894,15,150,2,12
Karate club,BC,IP,,0.9187369035711117,0.6666666666666666,0.8148148148148148,0.7333333333333333,17,147,5,10
Karate club,BC,IP,1.0,0.9090750678223196,0.6666666666666666,0.787037037037037,0.7218683651804669,17,145,7,10
Karate club,BC,IP,0.65,0.9131902941597682,0.75,0.8055555555555556,0.7767857142857144,19,144,8,8
Karate club,BC,SRC,,0.7131160358751928,0.6111111111111112,0.3131834215167548,0.4141317771523372,16,113,39,11
Karate club,BC,SRC,1.0,0.8647932402587583,0.7407407407407407,0.5222222222222223,0.6125773867709351,20,136,16,7
Karate club,BC,SRC,0.55,0.8647932402587583,0.7407407407407407,0.5222222222222223,0.6125773867709351,20,136,16,7
Karate club,BC,WP,,0.9108548796707814,0.7222222222222222,0.7777777777777778,0.7489711934156379,18,145,7,9
Karate club,BC,WP,1.0,0.9080580324803414,0.7222222222222222,0.7666666666666667,0.7437810945273632,18,144,8,9
Karate club,BC,WP,0.85,0.91217325881779,0.75,0.7759259259259259,0.7627427184466019,19,144,8,8
Karate club,BC,BLOCD,,0.9190028958802982,0.7222222222222222,0.8703703703703703,0.7894056847545219,18,148,4,9
Karate club,BC,BLOCD,1.0,0.9379227445215091,0.712962962962963,1.0,0.8324324324324325,17,152,0,10
Karate club,BC,BLOCD,0.6,0.9379227445215091,0.7175925925925926,1.0,0.8355795148247979,17,152,0,10
Średnio,RC,SRC,,0.7730183424420581,0.29055286570064487,0.08765208079844292,0.13467599245518322,474,65512,26901,2397
Średnio,RC,SRC,1.0,0.8215468068440408,0.35841718235500375,0.1308143522774976,0.19167248321437516,536,86254,6159,2335
Średnio,RC,SRC,0.65,0.8088116011529203,0.3969158296746669,0.1329187833646607,0.1991473108028736,632,85110,7303,2239
Średnio,RC,LN,,0.9161888375380787,0.2890299572288373,0.28889616051840317,0.2889630433858622,181,57182,548,2283
Średnio,RC,LN,1.0,0.9055244924283705,0.3059570405621706,0.28534014623948184,0.295289166414701,185,57083,647,2279
Średnio,RC,LN,0.65,0.8892161590098424,0.37393765112322674,0.26804399242720023,0.3122573423489051,225,56759,971,2239
Średnio,RC,GN,,0.9188159211948198,0.2902224791252577,0.29872277782699447,0.29441128569666924,184,57156,574,2280
Średnio,RC,GN,1.0,0.9140926900811016,0.31105581245859104,0.3085159738410147,0.3097806873122018,188,56332,1398,2276
Średnio,RC,GN,0.7,0.9037965198418114,0.3375662291252577,0.30084874958205693,0.3181516139834278,211,56163,1567,2253
Średnio,RC,LV,,0.9128759682509071,0.2722937932278218,0.27882862643892053,0.27552246703905453,181,57187,543,2283
Średnio,RC,LV,1.0,0.9063319871564797,0.2840125432278217,0.28812815321374996,0.28605554570309955,187,57100,630,2277
Średnio,RC,LV,0.7,0.8925232454527109,0.3446415496380782,0.281078352639399,0.30963144586186697,233,56855,875,2231
Średnio,RC,CNM,,0.9221104866295158,0.2589543278905751,0.30862648381030733,0.2816168624334956,148,57257,473,2316
Średnio,RC,CNM,1.0,0.9148154968916634,0.26025641122390847,0.28912967409677637,0.2739343182120893,148,57207,523,2316
Średnio,RC,CNM,0.7,0.9024813841679865,0.2990450869664827,0.26846511224142,0.2829312070505746,165,57012,718,2299
Średnio,RC,LP,,0.8992721423458943,0.23610591721193017,0.3843810339532883,0.2925271398858016,143,49826,839,2308
Średnio,RC,LP,1.0,0.8973330246408663,0.24804839717421215,0.39299561712461195,0.30413491351565425,158,49631,1034,2293
